name,building,addr:full,contact:phone,operator,operator:type,operational_status,opening_hours,wheelchair,health_amenity:type,healthcare:equipment,emergency,insurance:health,staff_count:doctors,staff_count:nurses,beds,electricity,water_source,latitude,longitude,source
Centre de santé de Rufisque,Doctors,Rue Savers,+221338367173,État du Senegal,Public,Operational,"24/7 - All day, every day",Yes,Doctor Pharmacy Dentist Laboratory Optometry/Ophtalmology Birthing center,Ultrasound X-Ray Operating Theater Laboratory Imaging Equipment Emergency Department,Yes,Public Private,4,10,40,Power grid,Water works,14.711889,-17.271621,#senegal #covid-19 #emergency-health-data #healthsites
Centre de Santé Saint Dominique,Doctors,Pikine Tally boumak,,Ministére de la Santé,Public,Operational,"24/7 - All day, every day",Yes,Doctor Pharmacy Laboratory Rehabilitation Birthing center,Ultrasound X-Ray Laboratory Imaging Equipment Emergency Department,Yes,Public Private,8,7,44,Power grid,Water works,14.756105,-17.396308,#senegal #covid-19 #emergency-health-data #healthsites
Zone militaire n°2 Centre médical Garnison Saint-Louis,Hospital,"Nord, Saint-Louis, Sénégal",+221339613940,Zone militaire n°2 Garnison,Government,Operational,"24/7 - All day, every day",Yes,Pharmacy Clinic Alternative Laboratory,MRI Laboratory Imaging Equipment Emergency Department,Yes,Public Private,4,22,16,Power grid,Water works,16.034423,-16.503198,#senegal #covid-19 #emergency-health-data #healthsites
CMS CHIFAA,Doctors,,,CMS CHIFAA,,Operational,"24/7 - All day, every day",Yes,Doctor Pharmacy Dentist Laboratory Birthing center,Laboratory,No,Private,2,2,15,Power grid,Water works,14.75641,-17.452177,#senegal #covid-19 #emergency-health-data #healthsites
Hôpital Aristide Le Dantec,Hospital,Unité d'oncologie pédiatrique B.P. 3001 30 Avenue Pasteurr Dakar Senegal,,Ministère de Santé,Public,Operational,"24/7 - All day, every day",Yes,Pharmacy Dentist Alternative Laboratory Optometry/Ophtalmology Rehabilitation Birthing center,Ultrasound MRI X-Ray Operating Theater Laboratory Imaging Equipment Intensive Care Unit Emergency Department,Yes,Public Private,,,,Generator,Water works,14.657276,-17.436676,#senegal #covid-19 #emergency-health-data #healthsites
Centre médico-social Chifa,Doctors,Parcelles Assainies,+221709845334,ASSOCIATION,Private,Operational,"24/7 - All day, every day",No,Doctor Pharmacy Dentist Alternative Laboratory Birthing center,Laboratory,No,None,30,10,15,Generator,Groundwater,14.6705,-17.4427,#senegal #covid-19 #emergency-health-data #healthsites
CENTRE DE SANTE KOUNGHEUL,Hospital,,,DR EL HADJI  MALICK NIANG,Public,Operational,"24/7 - All day, every day",,Doctor,,,Public,,,,,,13.981702,-14.791868,#senegal #covid-19 #emergency-health-data #healthsites
District  sanitaire de sedhiou,Doctors,region de sedhiou,339951113,Diabel Dramé,Public,Operational,"24/7 - All day, every day",Yes,Doctor Pharmacy Laboratory Birthing center,Ultrasound Laboratory,No,Public,2,3,,Power grid,Water works,16.025263,-16.487281,#senegal #covid-19 #emergency-health-data #healthsites
Centre Hospitalier National Matlaboul Fawzainie,Hospital,touba dianatou mahwa,339740547,Matar lo,Public,Operational,"24/7 - All day, every day",Yes,Doctor Pharmacy Dentist Physiotherapy Laboratory Optometry/Ophtalmology Rehabilitation Blood donation Birthing center,Ultrasound X-Ray Dialysis Operating Theater Laboratory Imaging Equipment Emergency Department,Yes,Public Private,,,,Power grid,Powered pump,16.025263,-16.487304,#senegal #covid-19 #emergency-health-data #healthsites
Clinique du Littoral Saly,Hospital,"Saly Center, route de Ngaparou",+221339574200,Audrey CASAHOUS,Private,Operational,"24/7 - All day, every day",Yes,Doctor Pharmacy Clinic Alternative Laboratory Optometry/Ophtalmology Rehabilitation,MRI Laboratory Imaging Equipment Intensive Care Unit Emergency Department,Yes,Public Private,9,4,10,Power grid,Water works,14.451999,-17.0394829,#senegal #covid-19 #emergency-health-data #healthsites
Clinique de la Madeleine,Clinic,"Avenue Diambar, Dakar, Sénégal",338899470,Moussa Jony,Private,Operational,"24/7 - All day, every day",Yes,Doctor Pharmacy Clinic Laboratory Birthing center,MRI Dialysis Operating Theater Laboratory Imaging Equipment Intensive Care Unit Emergency Department,Yes,Public Private,,55,70,Power grid,Water works,16.025289,-16.48732,#senegal #covid-19 #emergency-health-data #healthsites
ETABLISSEMENT PUBLIC DE NIVEAU 1 KAFFRINE,Hospital,,,BABAKAR SENE,,Operational,"24/7 - All day, every day",Yes,Doctor Pharmacy Dentist Laboratory Optometry/Ophtalmology Rehabilitation Blood donation Birthing center,Ultrasound X-Ray Operating Theater Laboratory Imaging Equipment Emergency Department,Yes,Public Private,8,20,110,Generator,Water works,14.099311,-15.556665,#senegal #covid-19 #emergency-health-data #healthsites
Centre de Santé Birkelane,Doctors,"Département de Birkelane,Escale guadgua près du forage",+221339466064,Ministère de la Santé et de l'Action Sociale,Public,Operational,"24/7 - All day, every day",Limited,Pharmacy Clinic Laboratory Birthing center,Ultrasound Laboratory Imaging Equipment Intensive Care Unit Emergency Department,Yes,Public Private,,9,17,Power grid,Water works,14.128194,-15.747231,#senegal #covid-19 #emergency-health-data #healthsites
Centre Hospitalier Régional de Kolda,Hospital,Sare Moussa,339962284,Ministère de la Santé et de l'Action Sociale,Public,Operational,"24/7 - All day, every day",Yes,Doctor Pharmacy Dentist Physiotherapy Laboratory Optometry/Ophtalmology Rehabilitation Blood donation Birthing center,X-Ray Operating Theater Laboratory Imaging Equipment Intensive Care Unit Emergency Department,Yes,Public Private,15,60,150,Power grid,Water works,12.951029,-14.716053,#senegal #covid-19 #emergency-health-data #healthsites
Centre Médico-Social Chifa,Hospital,,,privée,,Operational,"24/7 - All day, every day",,Doctor Pharmacy Clinic Laboratory Birthing center,,,Private,,,,,,14.6705,-17.4427,#senegal #covid-19 #emergency-health-data #healthsites
Poste de santé Médina Baffé,Doctors,commune de medina baffé,+221775893094,M Abdou Camara,Public,Operational,"24/7 - All day, every day",Yes,Doctor Pharmacy Birthing center,,Yes,Public,0,1,5,Solar,Powered pump,16.02639,-16.486127,#senegal #covid-19 #emergency-health-data #healthsites
Poste de santé Dindefello,Doctors,35km Kédougou Route de Salimata,+221786047741,ONG- Etat du Sénégal,Combination,Operational,"24/7 - All day, every day",Yes,Pharmacy Birthing center,Ultrasound Emergency Department,Yes,Public,,2,10,Solar,Powered pump,12.383222,-12.32405,#senegal #covid-19 #emergency-health-data #healthsites
Hopital Principal de Dakar,Hospital,"1, avenue Nelson Mandela Dakar",+221775693308,DOCTEUR BA,Public,Operational,"24/7 - All day, every day",No,Doctor Pharmacy Dentist Laboratory Optometry/Ophtalmology Rehabilitation Blood donation Birthing center,Ultrasound MRI X-Ray Dialysis Operating Theater Laboratory Imaging Equipment Intensive Care Unit Emergency Department,Yes,Public,96,650,420,Power grid,Water works,14.6705,-17.4427,#senegal #covid-19 #emergency-health-data #healthsites
"Centre de Santé, de Promotion et de Réinsertion Sociale de Sokone",Doctors,"Sokone, quartier Médine Commune Sokone",+221774403390,Ministère de la Santé et de l'Action Sociale,Government,Operational,Pick the days of the week open and enter hours for each day,Yes,Clinic,,No,Public,,,,Power grid,Water works,13.878396,-16.37254,#senegal #covid-19 #emergency-health-data #healthsites
Centre de santé médical Koungheul,Hospital,N1,339467129,Etat du Sénégal,Public,Operational,"24/7 - All day, every day",Yes,Doctor Pharmacy Dentist Alternative Laboratory Optometry/Ophtalmology Blood donation Birthing center,Ultrasound X-Ray Operating Theater Laboratory Imaging Equipment Intensive Care Unit Emergency Department,Yes,Public Private,2,9,60,Power grid,Powered pump,13.979372,-14.803559,#senegal #covid-19 #emergency-health-data #healthsites
Poste de santé de Mbagam,Doctors,,+221772310882,Coumba Nofene Diouf,Government,Operational,"24/7 - All day, every day",Yes,Doctor Birthing center,Ultrasound,No,Public,0,2,9,Power grid,Water works,16.025263,-16.487308,#senegal #covid-19 #emergency-health-data #healthsites
Poste de santé Hamo Tefess,Doctors,"8, Cité Barry & Ly, guediawaye, Dakar",,Ministère de la Santé et de l'Action Sociale,Public,Operational,"24/7 - All day, every day",No,Pharmacy Birthing center,Ultrasound Imaging Equipment Emergency Department,Yes,Public,,2,2,Power grid,Water works,14.779463,-17.397017,#senegal #covid-19 #emergency-health-data #healthsites
Poste de sante de nafadji,Doctors,bembou,774490164,Alioune faye,Community,Operational,"24/7 - All day, every day",No,Doctor Pharmacy Alternative Birthing center,Emergency Department,Yes,Public,0,2,6,Solar,Manual pump,16.025273,-16.487292,#senegal #covid-19 #emergency-health-data #healthsites
Centre médico-social de la fonction publique,Hospital,"153, RUE Moussé DIOP, Dakar",+221338215304,DR PATRICE THEOPHILE,Public,Operational,Only open on weekdays with the same hours every day.,No,Doctor Pharmacy Dentist Laboratory,Laboratory,No,Unknown,1,3,1,Power grid,Water works,14.6705,-17.4427,#senegal #covid-19 #emergency-health-data #healthsites
Centre de Santé de Sokone,Doctors,Sokone,,Ministère de la Santé et de l'action sociale,Public,Operational,"24/7 - All day, every day",Limited,Doctor Pharmacy Clinic Dentist Alternative Laboratory Optometry/Ophtalmology Blood donation Birthing center,Ultrasound MRI Operating Theater Laboratory Imaging Equipment Emergency Department,Yes,Public,4,7,96,Power grid,Water works,13.879159,-16.368854,#senegal #covid-19 #emergency-health-data #healthsites
Centre de santé de Sokone,Doctors,,,Ministère de la Santé et de l'Action Sociale,,Operational,"24/7 - All day, every day",,Doctor Pharmacy Clinic Dentist Alternative Laboratory Optometry/Ophtalmology Blood donation Birthing center,,,Public,,,,,,14.867552,-16.817838,#senegal #covid-19 #emergency-health-data #healthsites
centre de santé de kolda,Hospital,"6km, en face de la gendarmerie",+221339961105,DR SOULEYMANE SAGNA,Public,Operational,"24/7 - All day, every day",Yes,Doctor Pharmacy Dentist Laboratory Optometry/Ophtalmology Birthing center,X-Ray Laboratory Imaging Equipment,No,Public Private,2,5,24,Power grid,Water works,14.6705,-17.4427,#senegal #covid-19 #emergency-health-data #healthsites
service régional de l'Action sociale de Fatick,Hospital,Quartier Darou Rahmane,,Aliou SENE,Public,Operational,Pick the days of the week open and enter hours for each day,Yes,Rehabilitation,,No,None,,,,Power grid,Water works,14.73577,-17.422746,#senegal #covid-19 #emergency-health-data #healthsites
Centre hospitalier régional Amadou Sakhir Mbaye Louga,Hospital,Keur serigne bara,,MSAS,Public,Operational,"24/7 - All day, every day",,Doctor Pharmacy Hospital Clinic Dentist Laboratory Optometry/Ophtalmology Rehabilitation Blood donation Birthing center,Ultrasound X-Ray Dialysis Operating Theater Laboratory Imaging Equipment Intensive Care Unit Emergency Department,Yes,Public,,,,,,15.61812,-16.234688,#senegal #covid-19 #emergency-health-data #healthsites
District sanitaire thionck -Essyl,Doctors,Bignona,775706091,Abdel Kader Souandy Sarr,Public,Operational,"24/7 - All day, every day",Yes,Pharmacy Alternative Laboratory Optometry/Ophtalmology Birthing center,Laboratory Emergency Department,Yes,Public,2,22,30,Power grid,Water works,16.025289,-16.487292,#senegal #covid-19 #emergency-health-data #healthsites
Poste de santé de Bambilor,Doctors,,,République du Sénégal,Public,Operational,"24/7 - All day, every day",No,Doctor Pharmacy Birthing center,,Yes,None,,1,20,Power grid,Water works,14.8011,-17.18592,#senegal #covid-19 #emergency-health-data #healthsites
Poste de sante Guinaw Rail SUD,Doctors,almoumane 6B,338348436,Mme Diouf,Public,Operational,Pick the days of the week open and enter hours for each day,Yes,Doctor Pharmacy Alternative Birthing center,Ultrasound Laboratory Imaging Equipment Emergency Department,Yes,Public Private,0,1,20,Power grid,Water works,16.025273,-16.487297,#senegal #covid-19 #emergency-health-data #healthsites
Poste de santé médine,Doctors,"Mbour, quartier médine",+221775377309,M OUSSEYNOU GUEYE,Public,Operational,"24/7 - All day, every day",Yes,Doctor Pharmacy Birthing center,Imaging Equipment Emergency Department,Yes,Public,0,3,15,Power grid,Water works,14.867552,-16.817838,#senegal #covid-19 #emergency-health-data #healthsites
centre de centre de goudiry,Doctors,,339837145,Fallou gueye,Private,Operational,Pick the days of the week open and enter hours for each day,Yes,Doctor Pharmacy Dentist Laboratory Birthing center,Laboratory Intensive Care Unit Emergency Department,Yes,Public Private,2,4,17,Power grid,Water works,16.025278,-16.487292,#senegal #covid-19 #emergency-health-data #healthsites
Centre de santé de Kédougou,Hospital,,775704991,Etat du sénégal,Public,Operational,"24/7 - All day, every day",No,Doctor Pharmacy Hospital Dentist Blood donation Birthing center,Ultrasound Operating Theater Laboratory Imaging Equipment Emergency Department,Yes,Public,5,12,36,Power grid,Powered pump,14.7456,-17.416192,#senegal #covid-19 #emergency-health-data #healthsites
CENTRE DE SANTE DE BAMBEY,Doctors,wakhal diam,,Dr Standeur Nabi KALY,Public,Operational,"24/7 - All day, every day",Yes,Doctor Pharmacy Dentist Laboratory Optometry/Ophtalmology Birthing center,Ultrasound X-Ray Laboratory Imaging Equipment Emergency Department,Yes,Public Private,5,63,40,Power grid,Water works,14.700428,-16.455679,#senegal #covid-19 #emergency-health-data #healthsites
District sanitaire de Thionck-Essyl,Hospital,,,DR. Abdel Kader S . SARR,,Operational,"24/7 - All day, every day",,Doctor Pharmacy Alternative Laboratory Optometry/Ophtalmology Birthing center,,,Public,,,,,,12.794128,-16.509531,#senegal #covid-19 #emergency-health-data #healthsites
Centre de santé de Tivaouane,Doctors,Tivaouane,+221339554666,Ministère de la Santé et de l'action Sociale,Public,Operational,"24/7 - All day, every day",Yes,Pharmacy Clinic Dentist Laboratory Birthing center,Ultrasound Laboratory Imaging Equipment Emergency Department,Yes,Public,2,6,26,Power grid,Water works,14.953699,-16.819661,#senegal #covid-19 #emergency-health-data #healthsites
Poste de santé de Nafadji,Doctors,,,Aliou Faye,,Operational,"24/7 - All day, every day",,Birthing center,,,Public,,,,,,12.620207,-11.610738,#senegal #covid-19 #emergency-health-data #healthsites
Poste de santé de Nafadji,Doctors,,,Alioune Faye,,Operational,"24/7 - All day, every day",,Birthing center,,,Public,,,,,,12.620207,-11.610738,#senegal #covid-19 #emergency-health-data #healthsites
Poste de santé de Nafadji,Doctors,,,Alioune Faye,,Operational,"24/7 - All day, every day",,Birthing center,,,Public,,,,,,12.620207,-11.610738,#senegal #covid-19 #emergency-health-data #healthsites
poste de sante guinaw rail nord,Doctors,marché waranka,,Fatou BA,Public,Operational,Pick the days of the week open and enter hours for each day,Yes,Doctor Pharmacy Dentist Birthing center,Ultrasound Laboratory,No,Public,2,1,12,Power grid,Water works,16.025263,-16.487303,#senegal #covid-19 #emergency-health-data #healthsites
Poste de santé de  Guinaw Rail Nord,Doctors,,,Mme Ndiaye Fatou Ba,,Operational,"24/7 - All day, every day",,Pharmacy,,,Public,,,,,,14.749537,-17.385807,#senegal #covid-19 #emergency-health-data #healthsites
Plateau médical Fama,Clinic,Quartier abattoir lot numéro 3 route hôtel Asta kébé,+221339812402,DR THIONGUANE MAMADOU,Private,Operational,"24/7 - All day, every day",Yes,Doctor Dentist Alternative Laboratory Optometry/Ophtalmology Birthing center,Ultrasound X-Ray Operating Theater Laboratory,Yes,Private,3,4,7,Power grid,Water works,14.739046,-17.429299,#senegal #covid-19 #emergency-health-data #healthsites
Plateau medical fama,Clinic,,,Dr mamadou thiongane,,Operational,"24/7 - All day, every day",,Doctor Dentist Alternative Laboratory Birthing center,,,Private,,,,,,13.762625,-13.669957,#senegal #covid-19 #emergency-health-data #healthsites
Centre de Santé Abdou Aziz Sy Dabakh,Hospital,"Parcelles Assainies Unité 17, Zone Commerciale",,Ministère de la Santé et de l'Action Sociale,Public,Operational,"24/7 - All day, every day",Yes,Doctor Pharmacy Clinic Dentist Alternative Laboratory Birthing center,Ultrasound Laboratory Imaging Equipment Intensive Care Unit Emergency Department,Yes,Public Private,15,30,42,Power grid,Water works,14.757293,-17.438816,#senegal #covid-19 #emergency-health-data #healthsites
Poste de santé Toubacouta,Doctors,,,Ministere de santé et de l'action sociale,,Operational,"24/7 - All day, every day",,Doctor Pharmacy Laboratory Birthing center,,,Unknown,,,,,,13.786692,-16.474252,#senegal #covid-19 #emergency-health-data #healthsites
Poste de Toubacouta,Doctors,TOUBACOUTA,771396639,MINISTERE DE LA SANTE ET DE L'ACTION SOCIALE,Public,Operational,"24/7 - All day, every day",No,Doctor Pharmacy Laboratory Rehabilitation Birthing center,Laboratory,No,Unknown,0,1,4,Power grid,Well,13.786692,-16.474252,#senegal #covid-19 #emergency-health-data #healthsites
Centre de Santé de Gossas,Doctors,Gossas,+221339471107,MINISTERE DE LA SANTE ET DE L'ACTION SOCIALE,Public,Operational,"24/7 - All day, every day",Yes,Doctor Pharmacy Hospital Dentist Alternative Laboratory Optometry/Ophtalmology Blood donation Birthing center,Operating Theater Laboratory Intensive Care Unit Emergency Department,Yes,Public Private,4,4,12,Power grid,Water works,14.491749,-16.066588,#senegal #covid-19 #emergency-health-data #healthsites
poste de santé de khourounar,Doctors,,,MINISTERE DE SANTE ET DE L'ACTION SOCIALE,Public,Operational,Pick the days of the week open and enter hours for each day,,Doctor Pharmacy,,,Public,,,,,,14.748863,-17.403305,#senegal #covid-19 #emergency-health-data #healthsites
