_start,timestamp,username,source,osm_id,Name of Facility,House Number,Street,Post Code,City,Country,Phone Number,Operator Type,Facility Operator Name,Facility Location,_Facility Location_latitude,_Facility Location_longitude,_Facility Location_altitude,_Facility Location_precision,Operational Status,When is the facility open?,Which days is this facility open?,Which days is this facility open?/Monday,Which days is this facility open?/Tuesday,Which days is this facility open?/Wednesday,Which days is this facility open?/Thursday,Which days is this facility open?/Friday,Which days is this facility open?/Saturday,Which days is this facility open?/Sunday,Which days is this facility open?/Public Holidays,Enter open hours for each day:,Monday open hours,Tuesday open hours,Wednesday open hours,Thursday open hours,Friday open hours,Saturday open hours,Sunday open hours,Public Holiday open hours,_select_hours,Enter weekday hours,OSM 'opening_hours',opening_hours,Verify the open hours are correct or go back and fix:,Facility Category,Available Services,Available Services/Doctor,Available Services/Pharmacy,Available Services/Hospital,Available Services/Clinic,Available Services/Dentist,Available Services/Physiotherapy,Available Services/Alternative,Available Services/Laboratory,Available Services/Optometry/Ophtalmology,Available Services/Rehabilitation,Available Services/Blood donation,Available Services/Birthing center,Specialities,Specialities/xx,Speciality medical equipment available,Speciality medical equipment available/Ultrasound,Speciality medical equipment available/MRI,Speciality medical equipment available/X-Ray,Speciality medical equipment available/Dialysis,Speciality medical equipment available/Operating Theater,Speciality medical equipment available/Laboratory,Speciality medical equipment available/Imaging Equipment,Speciality medical equipment available/Intensive Care Unit,Speciality medical equipment available/Emergency Department,Does this facility provide Emergency Services?,Does the pharmacy dispense prescription medication?,Number of Beds,Number of Doctors,Number of Nurses,Types of insurance accepted?,Types of insurance accepted?/Public,Types of insurance accepted?/Private,Types of insurance accepted?/None,Types of insurance accepted?/Unknown,Is this facility wheelchair accessible?,What is the source of water for this facility?,What is the source of power for this facility?,URL for this location (if available),In which health are is the facility located?,In which health zone is the facility located?,__version__,_id,_uuid,_submission_time,_validation_status,_index
2020-08-03T10:30:25.394-00:00,2020-08-03T11:34:03.664-00:00,username not found,HS-Gather-2019-Senegal,c6eff7e3-1a25-4263-886e-3774800fb9e5,Centre de Santé Saint Dominique,33 834 02 72,Pikine Tally boumak,,Pikine-Dakar,Sénégal,,Public,Ministére de la Santé,14.756105 -17.396308 0 0,14.756105,-17.396308,0,0,Operational,"24/7 - All day, every day",,,,,,,,,,,,,,,,,,,,,,24/7,,Doctors,Doctor Pharmacy Laboratory Rehabilitation Birthing center,1,1,0,0,0,0,0,1,0,1,0,1,,,Ultrasound X-Ray Laboratory Imaging Equipment Emergency Department,1,0,1,0,0,1,1,0,1,Yes,,44,8,7,Public Private,1,1,0,0,Yes,Water works,Power grid,,,,vhREqQbVASG9GM2ppszLcE,62309188,709184e4-e734-4970-836b-291c4531ff08,2020-08-03T11:34:07,,1
2020-08-03T09:40:00.023-00:00,2020-08-03T11:29:02.859-00:00,username not found,HS-Gather-2019-Senegal,be07f305-1a01-4430-bff4-0e43321ad599,Zone militaire n°2 Centre médical Garnison Saint-Louis,+221339613940,"Nord, Saint-Louis, Sénégal",,Saint-Louis,Sénégal,+221339613940,Government,Zone militaire n°2 Garnison,16.034423 -16.503198 0 0,16.034423,-16.503198,0,0,Operational,"24/7 - All day, every day",,,,,,,,,,,,,,,,,,,,,,24/7,,Hospital,Pharmacy Clinic Alternative Laboratory,0,1,0,1,0,0,1,1,0,0,0,0,,,MRI Laboratory Imaging Equipment Emergency Department,0,1,0,0,0,1,1,0,1,Yes,,16,4,22,Public Private,1,1,0,0,Yes,Water works,Power grid,,,,vhREqQbVASG9GM2ppszLcE,62308794,eb23a41c-831f-4e86-a48f-1e73072471da,2020-08-03T11:30:06,,2
2020-08-03T11:49:24.053-00:00,2020-08-03T11:52:07.829-00:00,username not found,HS-Gather-2019-Senegal,26a077cd-77a8-401d-8baf-c3e57370a180,CMS CHIFAA,,,,,,,,CMS CHIFAA,14.75641 -17.452177 28 1414,14.75641,-17.452177,28,1414,,"24/7 - All day, every day",,,,,,,,,,,,,,,,,,,,,,24/7,,Doctors,Doctor Pharmacy Dentist Laboratory Birthing center,1,1,0,0,1,0,0,1,0,0,0,1,,,Laboratory,0,0,0,0,0,1,0,0,0,No,,15,2,2,Private,0,1,0,0,Yes,Water works,Power grid,,,,vhREqQbVASG9GM2ppszLcE,62310550,ad60c9cf-a7a4-48fa-91f2-74f611a261ce,2020-08-03T11:52:21,,3
2020-08-03T09:45:43.927-00:00,2020-08-03T13:54:49.830-00:00,username not found,HS-Gather-2019-Senegal,19076682-74a9-414e-a83a-2bfce988199e,Hôpital Aristide Le Dantec,33 823 53 95 / 33 899 38 00,Unité d'oncologie pédiatrique B.P. 3001 30 Avenue Pasteurr Dakar Senegal,3370,Dakar,Sénégal,,Public,Ministère de Santé,14.657276 -17.436676 0 0,14.657276,-17.436676,0,0,,"24/7 - All day, every day",,,,,,,,,,,,,,,,,,,,,,24/7,,Hospital,Pharmacy Dentist Alternative Laboratory Optometry/Ophtalmology Rehabilitation Birthing center,0,1,0,0,1,0,1,1,1,1,0,1,,,Ultrasound MRI X-Ray Operating Theater Laboratory Imaging Equipment Intensive Care Unit Emergency Department,1,1,1,0,1,1,1,1,1,Yes,,,,,Public Private,1,1,0,0,Yes,Water works,Generator,,,,vhREqQbVASG9GM2ppszLcE,62324423,eb6b0d3c-a24b-4ee4-8cc1-89839a2bff35,2020-08-03T13:54:53,,4
2020-08-03T13:32:24.945+02:00,2020-08-03T13:51:48.992+02:00,username not found,HS-Gather-2019-Senegal,7a2df16d-348c-496b-91bc-758bfe9588a5,Centre médico-social Chifa,parcelle entre unité 24 et 26,Parcelles Assainies,B.P.5085DAKARFA Dakar,Dakar,Sénégal,+221709845334,Private,ASSOCIATION,14.6705 -17.4427 0 229756,14.6705,-17.4427,0,229756,Operational,"24/7 - All day, every day",,,,,,,,,,,,,,,,,,,,,,24/7,,Doctors,Doctor Pharmacy Dentist Alternative Laboratory Birthing center,1,1,0,0,1,0,1,1,0,0,0,1,,,Laboratory,0,0,0,0,0,1,0,0,0,No,,15,30,10,None,0,0,1,0,No,Groundwater,Generator,,,,vhREqQbVASG9GM2ppszLcE,62310498,d79200b2-d591-4193-8af3-7d3a13b760a9,2020-08-03T11:52:00,,5
2020-08-03T13:02:42.983-00:00,2020-08-03T13:23:21.009-00:00,username not found,HS-Gather-2019-Senegal,2a7ccf48-60e3-4b4d-87af-b46961999550,CENTRE DE SANTE KOUNGHEUL,QUARTIER KOUNGHEUL VILLE SUR LA RN1,,25,,SENEGAL,,Public,DR EL HADJI  MALICK NIANG,13.981702 -14.791868 0 20,13.981702,-14.791868,0,20,,"24/7 - All day, every day",,,,,,,,,,,,,,,,,,,,,,24/7,,Hospital,Doctor,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,Public,1,0,0,0,,,,,,,vhREqQbVASG9GM2ppszLcE,62321413,70b9653f-f20f-418e-8507-78c9b4fc98ab,2020-08-03T13:23:32,,6
2020-08-03T10:49:30.220-00:00,2020-08-03T11:40:37.458-00:00,username not found,HS-Gather-2019-Senegal,10b0a902-8bbc-469b-9ed2-7f1f084d0ffd,District  sanitaire de sedhiou,,region de sedhiou,,sedhiou,senegal,339951113,Public,Diabel Dramé,16.025263 -16.487281 0 0,16.025263,-16.487281,0,0,Operational,"24/7 - All day, every day",,,,,,,,,,,,,,,,,,,,,,24/7,,Doctors,Doctor Pharmacy Laboratory Birthing center,1,1,0,0,0,0,0,1,0,0,0,1,,,Ultrasound Laboratory,1,0,0,0,0,1,0,0,0,No,,,2,3,Public,1,0,0,0,Yes,Water works,Power grid,,,,vhREqQbVASG9GM2ppszLcE,62309671,e37def82-7b72-4323-8233-aa43e57567db,2020-08-03T11:40:50,,7
2020-08-03T11:29:03.158-00:00,2020-08-03T12:24:01.872-00:00,username not found,HS-Gather-2019-Senegal,09df0329-0647-4105-91ee-02a931b4ff49,Clinique du Littoral Saly,+221777654237,"Saly Center, route de Ngaparou",Bp: 10,"Saly Ngaparou,Sénégal",Sénégal,+221339574200,Private,Audrey CASAHOUS,14.451999 -17.0394829 0 0,14.451999,-17.0394829,0,0,Operational,"24/7 - All day, every day",,,,,,,,,,,,,,,,,,,,,,24/7,,Hospital,Doctor Pharmacy Clinic Alternative Laboratory Optometry/Ophtalmology Rehabilitation,1,1,0,1,0,0,1,1,1,1,0,0,,,MRI Laboratory Imaging Equipment Intensive Care Unit Emergency Department,0,1,0,0,0,1,1,1,1,Yes,,10,9,4,Public Private,1,1,0,0,Yes,Water works,Power grid,,,,vhREqQbVASG9GM2ppszLcE,62313462,d15d92fa-9e0c-4950-9813-c52c6178d2c2,2020-08-03T12:25:05,,8
2020-08-03T11:40:37.799-00:00,2020-08-03T12:20:10.037-00:00,username not found,HS-Gather-2019-Senegal,02042f17-b09c-4fee-b128-8878adf1ab8e,clinique de la Madeleine,,"Avenue Diambar, Dakar, Sénégal",,Dakar,Sénégal,338899470,Private,Moussa Jony,16.025289 -16.48732 0 0,16.025289,-16.48732,0,0,Operational,"24/7 - All day, every day",,,,,,,,,,,,,,,,,,,,,,24/7,,Clinic,Doctor Pharmacy Clinic Laboratory Birthing center,1,1,0,1,0,0,0,1,0,0,0,1,,,MRI Dialysis Operating Theater Laboratory Imaging Equipment Intensive Care Unit Emergency Department,0,1,0,1,1,1,1,1,1,Yes,,70,,55,Public Private,1,1,0,0,Yes,Water works,Power grid,,,,vhREqQbVASG9GM2ppszLcE,62313065,e5413287-ba2d-4038-b0e0-95bb416fda22,2020-08-03T12:20:23,,9
2020-08-03T13:51:49.128+02:00,2020-08-03T13:59:22.286+02:00,username not found,HS-Gather-2019-Senegal,b03a925a-74fe-4ec1-880f-cdc75db4ca76,centre médico-social chifa,,,,,,,,privée,14.6705 -17.4427 0 229756,14.6705,-17.4427,0,229756,,"24/7 - All day, every day",,,,,,,,,,,,,,,,,,,,,,24/7,,Hospital,Doctor Pharmacy Clinic Laboratory Birthing center,1,1,0,1,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,Private,0,1,0,0,,,,,,,vhREqQbVASG9GM2ppszLcE,62311141,f5dfaddd-8c9b-4a22-b862-b93c3ef8dcab,2020-08-03T11:59:32,,10
2020-08-03T12:24:02.217-00:00,2020-08-03T15:39:39.426-00:00,username not found,HS-Gather-2019-Senegal,dd82ef45-7cdc-4b4b-ae82-7197a53238b6,Poste de santé Dindefello,+221774712950,35km Kédougou Route de Salimata,,Kédougou,Sénégal,+221786047741,Combination,ONG- Etat du Sénégal,12.383222 -12.32405 0 0,12.383222,-12.32405,0,0,Operational,"24/7 - All day, every day",,,,,,,,,,,,,,,,,,,,,,24/7,,Doctors,Pharmacy Birthing center,0,1,0,0,0,0,0,0,0,0,0,1,,,Ultrasound Emergency Department,1,0,0,0,0,0,0,0,1,Yes,,10,,2,Public,1,0,0,0,Yes,Powered pump,Solar,,,,vhREqQbVASG9GM2ppszLcE,62336367,dc35d5dc-9339-4eb1-b1da-1dcb8125f6c0,2020-08-03T15:39:53,,11
2020-08-03T17:16:37.960+02:00,2020-08-03T17:42:57.629+02:00,username not found,HS-Gather-2019-Senegal,d85058a6-092f-4601-b2c6-ffe05ae7cd21,Hopital principal de Dakar,"1, avenue Nelson Mandela Dakar","1, avenue Nelson Mandela Dakar",Bp3006,Dakar,sénégal,+221775693308,Public,DOCTEUR BA,14.6705 -17.4427 0 229756,14.6705,-17.4427,0,229756,Operational,"24/7 - All day, every day",,,,,,,,,,,,,,,,,,,,,,24/7,,Hospital,Doctor Pharmacy Dentist Laboratory Optometry/Ophtalmology Rehabilitation Blood donation Birthing center,1,1,0,0,1,0,0,1,1,1,1,1,,,Ultrasound MRI X-Ray Dialysis Operating Theater Laboratory Imaging Equipment Intensive Care Unit Emergency Department,1,1,1,1,1,1,1,1,1,Yes,,420,96,650,Public,1,0,0,0,No,Water works,Power grid,,,,vhREqQbVASG9GM2ppszLcE,62336619,a79e2c23-e8d4-42c6-ba0a-3b5072d7745e,2020-08-03T15:43:09,,12
2020-08-03T11:15:22.816-00:00,2020-08-03T19:10:26.733-00:00,username not found,HS-Gather-2019-Senegal,07afa171-726b-4518-a415-86e9ecc9b60a,Centre de santé médical Koungheul,Koungheul ville,N1,,Koungheul,Sénégal,339467129,Public,Etat du Sénégal,13.979372 -14.803559 0 0,13.979372,-14.803559,0,0,Operational,"24/7 - All day, every day",,,,,,,,,,,,,,,,,,,,,,24/7,,Hospital,Doctor Pharmacy Dentist Alternative Laboratory Optometry/Ophtalmology Blood donation Birthing center,1,1,0,0,1,0,1,1,1,0,1,1,,,Ultrasound X-Ray Operating Theater Laboratory Imaging Equipment Intensive Care Unit Emergency Department,1,0,1,0,1,1,1,1,1,Yes,,60,2,9,Public Private,1,1,0,0,Yes,Powered pump,Power grid,,,,vhREqQbVASG9GM2ppszLcE,62347159,3d342d5b-f6f6-4f22-b525-0b1f2b34b01d,2020-08-03T17:20:28,,13